District,Population,Increase,Literacy,Density,Division
Thane,"11,060,148",36.01,84.53,1157,Konkan
Pune,"9,429,408",30.37,86.15,603,Pune
Mumbai Suburban,"9,356,962",8.29,89.91,20980,Konkan
Nashik,"6,107,187",22.3,82.31,393,Nashik
Nagpur,"4,653,570",14.4,88.39,470,Nagpur
Ahmadnagar,"4,543,159",12.44,79.05,266,Nashik
Solapur,"4,317,756",12.16,77.02,290,Pune
Jalgaon,"4,229,917",14.86,78.2,360,Nashik
Kolhapur,"3,876,001",10.01,81.51,504,Pune
Aurangabad,"3,701,282",27.76,79.02,366,Aurangabad
Nanded,"3,361,292",16.86,75.45,319,Aurangabad
Mumbai City,"3,085,411",-7.57,89.21,19652,Konkan
Satara,"3,003,741",6.93,82.87,287,Pune
Amravati,"2,888,445",10.79,87.38,237,Amravati
Sangli,"2,822,143",9.24,81.48,329,Pune
Yavatmal,"2,772,348",12.78,82.82,204,Amravati
Raygad,"2,634,200",19.31,83.14,368,Konkan
Buldana,"2,586,258",15.85,83.4,268,Amravati
Bid,"2,585,049",19.61,76.99,242,Aurangabad
Latur,"2,454,196",17.97,77.26,343,Aurangabad
Chandrapur,"2,204,307",6.43,80.01,193,Nagpur
Dhule,"2,050,862",20.08,72.8,285,Nashik
Jalna,"1,959,046",21.46,71.52,254,Aurangabad
Parbhani,"1,836,086",20.19,73.34,295,Aurangabad
Akola,"1,813,906",11.27,88.05,320,Amravati
Osmanabad,"1,657,576",11.5,78.44,219,Aurangabad
Nandurbar,"1,648,295",25.66,64.38,277,Nashik
Ratnagiri,"1,615,069",-4.82,82.18,197,Konkan
Gondiya,"1,322,507",10.14,84.95,253,Nagpur
Wardha,"1,300,774",5.18,86.99,206,Nagpur
Bhandara,"1,200,334",5.65,83.76,294,Nagpur
Washim,"1,197,160",17.34,83.25,244,Amravati
Hingoli,"1,177,345",19.27,78.17,244,Aurangabad
Garhchiroli,"1,072,942",10.58,74.36,74,Nagpur
Sindhudurg,"849,651",-2.21,85.56,163,Konkan
